,country,continent,region,country_lower
124,North Korea,Asia,East Asia,north korea
125,Korea,Asia,East Asia,korea
126,Kosovo,Europe,Eastern Europe,kosovo
127,Kuwait,Asia,West Asia,kuwait
128,Cayman Islands,Americas,Caribbean,cayman islands
129,Kazakhstan,Asia,Central Asia,kazakhstan
130,Lao PDR,Asia,South-East Asia,lao pdr
131,Lebanon,Asia,West Asia,lebanon
132,Saint Lucia,Americas,Caribbean,saint lucia
133,Liechtenstein,Europe,Western Europe,liechtenstein
134,Sri Lanka,Asia,South Asia,sri lanka
135,Liberia,Africa,West Africa,liberia
136,Lesotho,Africa,South Africa,lesotho
137,Lithuania,Europe,Eastern Europe,lithuania
138,Luxembourg,Europe,Western Europe,luxembourg
139,Latvia,Europe,Eastern Europe,latvia
140,Libya,Africa,North Africa,libya
141,Morocco,Africa,North Africa,morocco
142,Monaco,Europe,Western Europe,monaco
143,Moldova,Europe,Eastern Europe,moldova
144,Montenegro,Europe,Eastern Europe,montenegro
145,Saint Martin (French part),Americas,Caribbean,saint martin (french part)
146,Madagascar,Africa,East Africa,madagascar
147,Marshall Islands,Oceania,Oceania (excl. Australia and New Zealand),marshall islands
148,North Macedonia,Europe,Eastern Europe,north macedonia
149,Mali,Africa,West Africa,mali
150,Myanmar,Asia,South-East Asia,myanmar
151,Mongolia,Asia,East Asia,mongolia
152,Macao,Asia,East Asia,macao
153,Northern Mariana Islands,Oceania,Oceania (excl. Australia and New Zealand),northern mariana islands
154,Mauritania,Africa,West Africa,mauritania
155,Montserrat,Americas,Caribbean,montserrat
156,Malta,Europe,Western Europe,malta
157,Mauritius,Africa,East Africa,mauritius
158,Maldives,Asia,South Asia,maldives
159,Malawi,Africa,East Africa,malawi
160,Mexico,Americas,Central America,mexico
161,Malaysia,Asia,South-East Asia,malaysia
162,Mozambique,Africa,East Africa,mozambique
163,Namibia,Africa,South Africa,namibia
164,New Caledonia,Oceania,Oceania (excl. Australia and New Zealand),new caledonia
165,Niger,Africa,West Africa,niger
166,Nigeria,Africa,West Africa,nigeria
167,Nicaragua,Americas,Central America,nicaragua
168,Netherlands,Europe,Western Europe,netherlands
169,Norway,Europe,Western Europe,norway
170,Nepal,Asia,South Asia,nepal
171,Nauru,Oceania,Oceania (excl. Australia and New Zealand),nauru
172,Niue,Oceania,Oceania (excl. Australia and New Zealand),niue
173,New Zealand,Oceania,Australia and New Zealand,new zealand
174,Other Russia & Central Asia,,,other russia & central asia
175,Other Russia & Central Asia (at market exchange rate),,,other russia & central asia (at market exchange rate)
176,Other East Asia,,,other east asia
177,Other East Asia (at market exchange rate),,,other east asia (at market exchange rate)
178,Other Western Europe,,,other western europe
179,Other Western Europe (at market exchange rate),,,other western europe (at market exchange rate)
180,Other Latin America,,,other latin america
181,Other Latin America (at market exchange rate),,,other latin america (at market exchange rate)
182,Other MENA,,,other mena
183,Other MENA (at market exchange rate),,,other mena (at market exchange rate)
184,Other North America & Oceania,,,other north america & oceania
185,Other North America & Oceania (at market exchange rate),,,other north america & oceania (at market exchange rate)
186,Other South & South-East Asia,,,other south & south-east asia
187,Other South & South-East Asia (at market exchange rate),,,other south & south-east asia (at market exchange rate)
188,Other Sub-Saharan Africa,,,other sub-saharan africa
189,Other Sub-Saharan Africa (at market exchange rate),,,other sub-saharan africa (at market exchange rate)
190,Oman,Asia,West Asia,oman
191,Panama,Americas,Central America,panama
192,Peru,Americas,South America,peru
193,French Polynesia,Oceania,Oceania (excl. Australia and New Zealand),french polynesia
194,Papua New Guinea,Oceania,Oceania (excl. Australia and New Zealand),papua new guinea
195,Philippines,Asia,South-East Asia,philippines
196,Pakistan,Asia,South Asia,pakistan
197,Poland,Europe,Eastern Europe,poland
198,Saint Pierre and Miquelon,Americas,North America,saint pierre and miquelon
199,Puerto Rico,Americas,Caribbean,puerto rico
200,Palestine,Asia,West Asia,palestine
201,Portugal,Europe,Western Europe,portugal
202,Palau,Oceania,Oceania (excl. Australia and New Zealand),palau
203,Paraguay,Americas,South America,paraguay
204,Qatar,Asia,West Asia,qatar
205,Africa,,,africa
206,Africa (at market exchange rate),,,africa (at market exchange rate)
207,Americas,,,americas
208,Americas (at market exchange rate),,,americas (at market exchange rate)
209,Asia,,,asia
210,Asia (at market exchange rate),,,asia (at market exchange rate)
211,Europe,,,europe
212,Europe (at market exchange rate),,,europe (at market exchange rate)
213,Oceania,,,oceania
214,Oceania (at market exchange rate),,,oceania (at market exchange rate)
215,Australia and New Zealand,,,australia and new zealand
216,Australia and New Zealand (at market exchange rate),,,australia and new zealand (at market exchange rate)
217,Caribbean,,,caribbean
218,Caribbean (at market exchange rate),,,caribbean (at market exchange rate)
219,Central America,,,central america
220,Central America (at market exchange rate),,,central america (at market exchange rate)
221,Central Asia,,,central asia
222,Central Asia (at market exchange rate),,,central asia (at market exchange rate)
223,East Africa,,,east africa
224,East Africa (at market exchange rate),,,east africa (at market exchange rate)
225,East Asia,,,east asia
226,East Asia (at market exchange rate),,,east asia (at market exchange rate)
227,Eastern Europe,,,eastern europe
228,Eastern Europe (at market exchange rate),,,eastern europe (at market exchange rate)
229,Middle Africa,,,middle africa
230,Middle Africa (at market exchange rate),,,middle africa (at market exchange rate)
231,North Africa,,,north africa
232,North Africa (at market exchange rate),,,north africa (at market exchange rate)
233,North America,,,north america
234,North America (at market exchange rate),,,north america (at market exchange rate)
235,Oceania (excl. Australia and New Zealand),,,oceania (excl. australia and new zealand)
236,Oceania (excl. Australia and New Zealand) (at market exchange rate),,,oceania (excl. australia and new zealand) (at market exchange rate)
237,South America,,,south america
238,South America (at market exchange rate),,,south america (at market exchange rate)
239,South-East Asia,,,south-east asia
240,South-East Asia (at market exchange rate),,,south-east asia (at market exchange rate)
241,South Africa,,,south africa
242,South Africa (at market exchange rate),,,south africa (at market exchange rate)
243,South Asia,,,south asia
244,South Asia (at market exchange rate),,,south asia (at market exchange rate)
245,West Africa,,,west africa
246,West Africa (at market exchange rate),,,west africa (at market exchange rate)
247,West Asia,,,west asia
248,West Asia (at market exchange rate),,,west asia (at market exchange rate)
249,Western Europe,,,western europe
250,Western Europe (at market exchange rate),,,western europe (at market exchange rate)
251,European Union,,,european union
252,European Union (at market exchange rate),,,european union (at market exchange rate)
253,Romania,Europe,Eastern Europe,romania
254,Serbia,Europe,Eastern Europe,serbia
