"code","iso","country","PMD.raw.1990","PMD.raw.1991","PMD.raw.1992","PMD.raw.1993","PMD.raw.1994","PMD.raw.1995","PMD.raw.1996","PMD.raw.1997","PMD.raw.1998","PMD.raw.1999","PMD.raw.2000","PMD.raw.2001","PMD.raw.2002","PMD.raw.2003","PMD.raw.2004","PMD.raw.2005","PMD.raw.2006","PMD.raw.2007","PMD.raw.2008","PMD.raw.2009","PMD.raw.2010","PMD.raw.2011","PMD.raw.2012","PMD.raw.2013","PMD.raw.2014","PMD.raw.2015","PMD.raw.2016","PMD.raw.2017","PMD.raw.2018","PMD.raw.2019"
4,"AFG","Afghanistan",1057.88111202947,989.747063807277,948.532258088256,963.878724957517,984.25244437293,977.933383641833,976.647300826831,981.367198889978,984.151062577153,986.332235850611,979.964661705061,965.90075736836,930.640647253488,944.912214470571,945.076230724962,934.785366090861,949.160777863794,981.275841174183,1028.8247410417,1084.86972863075,1144.18152077041,1229.57160494185,1349.15237028222,1471.99984791526,1562.24671007239,1590.98691667045,1563.62967087607,1541.76889168313,1563.51194487065,1627.16758357508
8,"ALB","Albania",1224.49805411141,1224.88621995352,1158.32920423166,1092.23372071418,1015.49948720514,999.841326568566,1001.82020767261,997.971835584566,1008.42439571296,1040.28951691258,1039.72748146333,988.963686572596,1004.53424215074,1041.91346385018,1040.02299626245,1019.70877718931,974.608955514993,939.066449967422,954.281365839789,942.174924495962,927.405523923536,925.286507112923,908.653922784475,895.118221692994,889.663412004837,884.632312770056,871.167663306368,859.427748137675,848.3152281975,839.523696686194
12,"DZA","Algeria",2492.60899002519,2504.49093391903,2523.20874093291,2545.43123182732,2566.66135186264,2574.54878210458,2582.33238489176,2597.44383573601,2594.6118121184,2607.64369634321,2568.67487466428,2506.31585373149,2442.15658144062,2380.15562960373,2318.96242948904,2256.69592114463,2194.02851336381,2129.25287698529,2068.42346021863,2014.56214704428,1969.87169090034,1950.44280273246,1938.37687663064,1934.91680404764,1938.44416970311,1930.2044900262,1889.43596139497,1855.67573505709,1845.00351379363,1837.9474520657
20,"AND","Andorra",451.892667085761,432.260409808535,418.206743161114,401.608896889887,390.330786151665,378.832112366526,374.196034676599,370.651332509455,370.221966027459,367.710226768204,364.705398093024,354.848442558253,339.368052082785,324.029192638283,311.736248025365,299.827194802656,290.820887905297,281.723080629134,272.407318938997,266.378283630016,259.102759926548,252.656745269328,246.52400938853,240.722567881343,232.776050781556,222.270991932997,202.406972650884,185.189128017475,183.021714122107,182.052027000053
24,"AGO","Angola",641.746187840922,639.091187341553,643.115755018536,656.752149431156,670.21686387582,677.124071866035,682.652284719179,703.118623973798,737.738902787211,767.260688741822,784.410896937154,786.047340092359,778.402552282295,778.903736976802,797.490553594814,793.005335402829,805.049094705964,815.806213455142,837.255015765019,858.872652506113,887.626612322213,924.275123301823,977.175746861902,1025.55239075996,1058.89586823412,1100.11216887733,1124.80428691405,1157.68018159607,1205.06135591901,1259.67059462631
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",1072.52050588256,1079.37926364037,1091.54600910535,1138.82280804938,1142.73533305284,1149.75941608683,1092.71368266054,1068.44266829561,1047.69519070746,1028.50101823648,999.388922217366,969.894721852077,931.365217996839,896.986012399657,868.592308865587,847.826829138354,842.145179063447,893.250832534013,888.832342588561,839.848686497267,838.333829372992,841.414749644867,844.103404127617,853.263028736915,870.434194310781,869.255701861581,841.044403657457,815.711179321928,814.445795003545,827.366911494928
32,"ARG","Argentina",961.436342961444,955.361463337968,956.862122479128,936.236192197299,906.81844704437,893.314099378909,878.48810062321,851.064787578081,828.965570598691,801.378666163066,755.459816384506,735.684504477477,728.247958601281,710.518760028387,673.184415918935,645.592959608135,635.863536752647,646.524242114572,632.784898062646,631.499939689826,629.171662303322,628.32476128806,627.237689134657,629.182196551362,623.898063300902,624.575818223536,620.017852398168,596.860374291871,585.521674324761,580.438054158086
51,"ARM","Armenia",2297.78543860394,2344.88792465299,2510.80204222951,2582.22989854634,2481.22004386984,2419.99469281488,2395.24005784577,2277.29215553882,2215.62485403098,2200.33703780088,2142.91923533036,2156.35093324217,2164.46138527353,2204.22999931372,2213.32924154751,2240.4380918218,2268.81792774539,2237.6325823903,2270.46242276816,2266.49485982218,2229.5551833767,2192.58352342347,2130.27357215599,2053.00422452666,2030.55380468765,2032.81581195929,1961.11711746461,1891.82061304766,1855.89437893765,1824.30383797048
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",295.391127828656,279.298380680306,270.514658477667,256.93347209184,249.992143255822,239.801583007924,232.881650319123,223.665540521995,214.388236691911,205.870905534869,196.828712751718,187.19072851246,177.823261823516,167.381942170189,156.913898630825,148.837190797975,141.956154444636,137.406436779101,133.654612916538,129.672391942714,125.807466345162,122.344051351853,118.272103918927,117.009384552023,116.309245930396,115.514467721313,109.48412907085,105.905385487475,106.366192399702,107.298905751469
40,"AUT","Austria",953.75705052536,943.590825761583,923.315378893028,899.376370697605,869.12597110325,845.774867920868,820.938421490829,775.522871229405,735.831887071672,693.694952469113,655.567246001674,621.03468314569,598.245740913636,580.514159722934,553.560177379082,533.198376122438,509.077163707139,494.206785636529,477.732936541059,471.908871865735,456.414380658417,437.135920579553,415.748915580312,393.855867017154,370.135700364963,350.988406040246,318.946448434127,295.991286624865,292.47135311641,295.931517482344
31,"AZE","Azerbaijan",2372.21336729248,2521.78984197359,2712.38358418325,2855.14051241268,2973.59060047646,2979.62931033099,2941.91383631506,2873.08030117397,2829.77040165263,2782.71278926922,2720.81705248213,2634.847256585,2629.23934819473,2664.20421024135,2670.73675452472,2710.20925874578,2724.91114638508,2744.58973453668,2812.18449174966,2852.69342856642,2869.80998634691,2863.97141685924,2856.90850746476,2831.63761983165,2816.89396028396,2779.88130744645,2709.76614879468,2651.21416752981,2564.79229220334,2541.27565370599
