"code","iso","country","HAD.raw.1990","HAD.raw.1991","HAD.raw.1992","HAD.raw.1993","HAD.raw.1994","HAD.raw.1995","HAD.raw.1996","HAD.raw.1997","HAD.raw.1998","HAD.raw.1999","HAD.raw.2000","HAD.raw.2001","HAD.raw.2002","HAD.raw.2003","HAD.raw.2004","HAD.raw.2005","HAD.raw.2006","HAD.raw.2007","HAD.raw.2008","HAD.raw.2009","HAD.raw.2010","HAD.raw.2011","HAD.raw.2012","HAD.raw.2013","HAD.raw.2014","HAD.raw.2015","HAD.raw.2016","HAD.raw.2017","HAD.raw.2018","HAD.raw.2019"
4,"AFG","Afghanistan",13227.8573493756,12388.4379084025,11913.3301190322,12164.0202967623,12470.5650860117,12405.3490237471,12407.327794056,12499.7570648499,12560.4550545725,12607.6465901505,12504.4154711537,12239.7920963243,11628.1157480585,11574.3755288148,11282.2970331566,10838.7227787241,10433.8566065435,9864.79837043735,9290.0861902879,8750.6082564745,8278.8716706478,7825.23211520995,7382.38828394665,6994.1634095572,6642.83140152118,6345.07846708499,6077.96077879261,5840.17717938632,5588.65208523699,5328.36887570484
8,"ALB","Albania",2633.12697828065,2674.23265711918,2558.60370773241,2427.54047811684,2266.52241390675,2222.41642626013,2156.93770445465,2005.21990846473,1856.98008925383,1763.38782939325,1629.89603944769,1453.72289198402,1381.82378655363,1334.19312778145,1234.62271594832,1123.92743121112,986.10840403014,857.579135422115,780.195811260599,695.173884057229,633.727884885037,599.105105452062,564.136260922264,536.127708855624,513.776323579239,491.679413335684,465.884713612009,443.132420954093,422.603608385421,404.635477641937
12,"DZA","Algeria",715.550859218552,625.669339195702,546.016899158386,475.467021099765,412.989898243631,356.919932517825,306.576034458048,260.999045304056,219.72108340705,187.069137995277,158.584655296909,134.524264330298,113.513610349398,95.5346640651111,80.2257803269514,67.2927210775951,56.1925298161625,46.4166360538364,38.0631823546594,31.2006840388104,25.928762583095,21.9292827786278,18.4714992020298,15.6018419591262,13.2784125004471,11.3344448138203,9.7490799540413,8.45667572399477,7.27378724221366,6.17074845903961
20,"AND","Andorra",3.37133388292077,3.06119080739252,2.7982330371501,2.5227920213803,2.29769400863809,2.0744712129363,1.89477777162992,1.72040516312276,1.57603018014656,1.44156158080238,1.33157207184234,1.22409742330821,1.11987871892671,1.03071788637424,0.959973780985864,0.893598886187966,0.835603118325196,0.779378295971191,0.726199699026838,0.688660242678001,0.655038104494745,0.632091786910221,0.61311616254311,0.597355419323897,0.578471056835095,0.555360026023825,0.532157851950025,0.507195424964465,0.487424475424201,0.470707592982868
24,"AGO","Angola",9808.60515198044,9633.96230338474,9467.16531326417,9370.18389048372,9224.3829105503,8975.21265892624,8604.4217356461,8293.6588038682,8082.58718539403,7823.60162597434,7517.80759173597,7151.01595308696,6769.83427885579,6466.71553289229,6282.266785247,5898.93566733104,5585.95686238166,5238.01358279427,4936.19982645352,4617.39141668974,4330.00715393528,4020.10732897287,3713.63270240402,3382.3155472146,3041.76078871946,2783.84638765001,2533.01664017791,2317.26829625175,2134.59579821668,1967.14975706954
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",128.21683467251,118.217548946863,109.004339246288,103.811327853343,95.337382414637,88.0791830848184,78.2551818844261,70.8011512173278,64.3078442879115,58.8460380030139,53.8254098558123,50.0660286564198,46.6714290748342,43.7945423237347,41.2943159185964,38.752541042571,36.5220953518089,36.0214401453495,33.8106376315993,30.4288572556398,28.5883806375067,26.843897897779,25.0177788637541,23.4246340381997,22.0828379582845,20.4960369674087,18.8868265144163,17.3702505666707,15.9280363058956,14.5896175493614
32,"ARG","Argentina",344.325881549971,315.876651937055,292.225269925824,265.634774856699,239.832219238832,221.346264396733,205.292778150067,189.010814762249,175.819297313222,162.315476427537,146.151768274087,135.474804199682,127.386585724769,117.945780001693,105.666101849281,95.2101465161798,87.3309088996564,81.6918806501918,73.2799386406527,67.107225913311,61.802573614039,57.2049326441297,52.7862801413341,49.0770580436173,45.3795371965134,42.5695796122519,40.9454870946481,38.502044419681,35.9513081829021,33.9046057793864
51,"ARM","Armenia",1036.03832756412,1052.65017094735,1121.45766654395,1143.90023394422,1089.80243290002,1056.8034916116,1030.99794936433,957.021785938595,900.275494883068,851.874426158697,787.349433784315,730.011710404056,646.226395989145,562.943248579585,474.004202758761,402.734714708461,340.098648174945,271.942450085746,218.696449549146,173.050600596191,140.725745540826,119.227575500209,100.75277324364,85.3826356642142,75.0679373237146,68.1336964731183,62.0361932582912,57.2948810787097,52.9157179931154,48.7535905045392
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",19.0234668332184,16.7925523615282,15.1601942764938,13.3633071371866,12.0549920655718,10.7228182410684,9.63192170207606,8.53657384598002,7.53352884557517,6.66740156515783,5.87091063927944,5.14328123512935,4.49749917881868,3.89197118196266,3.36436900554985,2.95714434420067,2.62233589963042,2.35119976166028,2.12176575759016,1.92019500910366,1.74671377265224,1.60171325546845,1.46734386195487,1.37791876831026,1.29773534357705,1.21964377056837,1.11564296491599,1.04246886550561,0.992187586194753,0.941726437950431
