"code","iso","country","OZD.raw.1990","OZD.raw.1991","OZD.raw.1992","OZD.raw.1993","OZD.raw.1994","OZD.raw.1995","OZD.raw.1996","OZD.raw.1997","OZD.raw.1998","OZD.raw.1999","OZD.raw.2000","OZD.raw.2001","OZD.raw.2002","OZD.raw.2003","OZD.raw.2004","OZD.raw.2005","OZD.raw.2006","OZD.raw.2007","OZD.raw.2008","OZD.raw.2009","OZD.raw.2010","OZD.raw.2011","OZD.raw.2012","OZD.raw.2013","OZD.raw.2014","OZD.raw.2015","OZD.raw.2016","OZD.raw.2017","OZD.raw.2018","OZD.raw.2019"
4,"AFG","Afghanistan",127.584497226861,121.370976440374,114.668868944419,113.526423189203,117.783662536404,121.895790243962,121.144653893382,122.355206711885,125.658692712881,133.619247459392,136.467428751104,129.210600397467,119.566875244119,122.806151062952,120.82287901264,118.368770733884,112.102228342193,126.335558460624,130.892071213413,119.388452976262,103.806308294557,96.8878180027328,98.3674705356121,99.3424683407101,92.6412182123085,96.5497758910514,101.74504148979,108.121469895112,95.3322306164037,93.9751747746081
8,"ALB","Albania",72.437830891655,66.1013334314305,61.1614159727791,58.0958525988495,54.1499984948388,50.3980035731471,45.2757097108615,44.5024396652164,38.2627310591361,32.2331633272647,26.1955211342509,24.4738158468714,28.5938638194365,32.3319069089824,32.8513971527539,29.5862408433645,25.482879195433,23.9355800141103,21.9138663955659,19.5641922751468,15.9714436083668,15.2011727425948,15.2365662718698,15.1918085081219,14.831653637837,12.2562707351649,10.9866575054615,9.69651858537827,9.01746214098133,7.99930738806109
12,"DZA","Algeria",44.9208550542772,44.9990129228241,42.6534353825732,43.3815354813136,42.5908851368172,44.5048008635364,42.1721614371267,41.0347814234378,38.0606420889826,46.6273871760756,47.5458322491536,46.3588144440114,42.1315872609276,40.6273595002937,40.6461653993138,35.6351151863872,34.4718280126312,33.7682851664127,33.5703436473032,36.0714079788578,36.9764809712354,36.9114383384024,34.5372209654762,36.7092433416777,37.2875228956625,37.2909897625404,34.6000813076852,34.2121201654163,36.6506606585091,36.9918260742171
20,"AND","Andorra",33.8745963372835,33.2192048184649,31.543775389285,32.9234012256022,36.116717806531,40.7967544108566,39.2422514079965,36.0357149718973,33.7788084109542,34.9369192211039,35.9759012834528,34.9390048507058,37.3189819214842,36.0507453531971,37.3509593277162,37.4203809890447,37.8025940386431,34.911122936602,33.2650279635428,33.8758937462819,34.5831046211485,34.4786832873529,34.3693171255063,34.6777897712023,33.630697774548,31.8602049614253,28.874039607619,27.0056900362047,29.2815832846199,28.5399132076282
24,"AGO","Angola",85.2002176676941,88.3783818657976,80.8305923569749,80.4106326575255,73.5557891816214,71.9386221937794,65.992350424635,66.2472536978849,66.448880307943,67.8987613588342,52.1536080258032,48.4373452564892,42.0298462325157,47.8586191825784,62.8536613303865,76.7474425125493,88.6404871788754,76.9220613331319,64.4658943915811,56.0931468972159,53.3440001159157,51.001199218666,45.9613883996179,44.306976929777,41.639994561828,38.1274652261649,38.0251502734876,37.8244027490157,35.8019843364619,34.5991087851865
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",2.83507991582679,3.08279191598721,3.18265700419064,3.63792401621006,3.51358121307348,3.76568993972036,3.334616320264,3.52874940949052,2.50553473808646,2.1133316705859,1.11177599814706,1.77600265530316,1.49271051206164,1.48613985969649,0.423646703948669,0.14310872386353,0.165642638755729,0.414580462384692,0.575205593667225,0.526339834401748,0.34663590205796,0.200339934597491,0.154877824742867,0.144892818780867,0.149161520320031,0.0812126839983659,0.0420459793346054,0.00334565640729255,0.0259746843502793,0.0160978153185977
32,"ARG","Argentina",11.9117034626837,11.7333998511773,11.663184586034,11.6290185655511,12.1583046879734,12.4227142816988,12.2998212439095,11.3711934186964,12.6298822232608,12.5089055984285,11.440383146691,10.8727766047208,11.3196069124814,11.4502133483056,11.4169884378098,13.4613484171785,14.1919900917383,15.0511920070534,12.2469566316521,12.2867972679069,12.420110660206,13.907387455432,15.6298784668016,14.0977715876411,13.2980761804176,11.6698676774285,14.5073645478405,12.0707684552884,15.0250261905703,15.3207826855216
51,"ARM","Armenia",71.280844358817,69.4138004178129,70.1791819033663,71.0352798643807,69.1144300230931,69.4055998320594,64.2816032923665,57.1537504402471,53.6632778771907,55.6223148736434,54.920972759366,49.6200037770581,49.5460689102441,49.0651987927235,48.728071880007,48.5727645155321,51.2127052351935,56.1621886223511,56.6654994285617,53.6971717338946,48.6724339300339,51.3698985780186,52.3578871626082,53.2476239143563,52.0728385313553,52.4088957436802,53.5239378433011,53.7111867166071,54.7501566302571,55.5907755953993
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
